City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,byron bay,-28.65,153.6167,27.75,61,92,3.98,AU,1675819711
1,rikitea,-23.1203,-134.9692,26.67,68,7,5.0,PF,1675819593
2,cockburn town,21.4612,-71.1419,25.48,75,0,10.11,TC,1675819711
3,tuatapere,-46.1333,167.6833,12.51,66,81,6.51,NZ,1675819711
4,castro,-24.7911,-50.0119,16.99,92,26,2.48,BR,1675819689
5,busselton,-33.65,115.3333,22.42,57,0,3.71,AU,1675819712
6,olinda,-8.0089,-34.8553,26.85,61,20,2.57,BR,1675819713
7,atuona,-9.8,-139.0333,26.07,76,19,6.78,PF,1675819540
8,tasiilaq,65.6145,-37.6368,-16.91,35,0,16.15,GL,1675819511
9,ushuaia,-54.8,-68.3,9.81,71,20,5.14,AR,1675819492
10,stromness,58.965,-3.296,5.49,77,100,11.18,GB,1675819714
11,arraial do cabo,-22.9661,-42.0278,24.16,90,100,1.79,BR,1675819618
12,jalu,29.0331,21.5482,9.75,57,93,3.27,LY,1675819714
13,chokurdakh,70.6333,147.9167,-39.12,100,100,1.73,RU,1675819608
14,hermanus,-34.4187,19.2345,19.89,82,0,5.35,ZA,1675819560
15,ribeira grande,38.5167,-28.7,13.21,65,1,3.58,PT,1675819715
16,tuktoyaktuk,69.4541,-133.0374,-32.0,75,100,1.54,CA,1675819553
17,avarua,-21.2078,-159.775,29.03,74,20,5.66,CK,1675819552
18,anloga,5.7947,0.8973,26.95,82,37,4.48,GH,1675819716
19,new norfolk,-42.7826,147.0587,17.73,36,4,0.94,AU,1675819716
20,barrow,71.2906,-156.7887,-17.99,78,100,3.6,US,1675819686
21,kapaa,22.0752,-159.319,26.18,88,100,6.17,US,1675819617
22,bredasdorp,-34.5322,20.0403,18.93,77,21,3.68,ZA,1675819706
23,pati,-6.7559,111.038,24.02,95,100,1.72,ID,1675819717
24,evansville,37.9748,-87.5558,10.11,87,100,2.06,US,1675819717
25,severo-kurilsk,50.6789,156.125,-4.1,54,12,4.38,RU,1675819449
26,amambai,-23.1042,-55.2258,22.47,71,66,1.09,BR,1675819718
27,sitka,57.0531,-135.33,3.94,75,20,1.54,US,1675819718
28,ilulissat,69.2167,-51.1,-26.99,76,100,2.57,GL,1675819700
29,ponta do sol,32.6667,-17.1,15.56,63,34,2.93,PT,1675819719
30,pevek,69.7008,170.3133,-29.74,92,100,1.3,RU,1675819719
31,naze,28.3667,129.4833,17.51,74,100,6.51,JP,1675819720
32,shingu,33.7333,135.9833,12.2,52,12,2.56,JP,1675819720
33,punta arenas,-53.15,-70.9167,12.06,76,0,4.12,CL,1675819232
34,quatre cocos,-20.2078,57.7625,26.06,81,40,6.76,MU,1675819701
35,bluff,-46.6,168.3333,14.33,61,67,11.15,NZ,1675819721
36,alofi,-19.0595,-169.9187,26.94,83,100,3.6,NU,1675819721
37,sao filipe,14.8961,-24.4956,20.23,67,17,4.16,CV,1675819722
38,qaanaaq,77.484,-69.3632,-31.57,67,7,2.82,GL,1675819722
39,beloha,-25.1667,45.05,23.21,80,100,3.76,MG,1675819723
40,mataura,-46.1927,168.8643,14.15,75,83,4.67,NZ,1675819723
41,mathbaria,22.2876,89.9593,18.4,89,0,2.02,BD,1675819724
42,dokka,60.84,10.0618,-7.95,98,55,1.6,NO,1675819724
43,east london,-33.0153,27.9116,21.66,84,100,5.62,ZA,1675819724
44,bandiagara,14.3501,-3.6104,25.44,16,100,3.66,ML,1675819725
45,karratha,-20.7377,116.8463,32.63,45,19,2.81,AU,1675819725
46,kachiry,53.0675,76.1036,-21.2,100,99,1.38,KZ,1675819726
47,petropavlovsk-kamchatskiy,53.0452,158.6483,-10.67,52,20,3.0,RU,1675819726
48,codrington,-38.2667,141.9667,18.99,58,75,6.82,AU,1675819726
49,clyde river,70.4692,-68.5914,-34.87,68,0,2.06,CA,1675819727
50,prosperous,53.2903,-6.7539,7.28,94,100,3.29,IE,1675819727
51,butaritari,3.0707,172.7902,27.23,80,100,9.71,KI,1675819727
52,yulara,-25.2406,130.9889,34.71,23,0,5.03,AU,1675819728
53,carnarvon,-24.8667,113.6333,27.43,56,1,7.64,AU,1675819728
54,borba,-4.3878,-59.5939,23.28,98,100,1.07,BR,1675819729
55,victoria,22.2855,114.1577,18.31,87,97,5.81,HK,1675819693
56,albany,42.6001,-73.9662,1.36,81,100,0.45,US,1675819459
57,ilanskiy,56.2358,96.065,-8.49,96,100,2.12,RU,1675819729
58,canutama,-6.5339,-64.3831,23.15,97,100,0.76,BR,1675819730
59,saint anthony,45.0205,-93.218,-1.03,77,0,2.06,US,1675819687
60,chuy,-33.6971,-53.4616,22.36,75,45,4.17,UY,1675819488
61,gazanjyk,39.2446,55.5154,9.84,52,100,3.83,TM,1675819730
62,cidreira,-30.1811,-50.2056,24.31,79,26,5.84,BR,1675819702
63,storforshei,66.4043,14.5233,3.88,64,100,1.54,NO,1675819731
64,andilamena,-17.0167,48.5833,18.87,89,100,2.2,MG,1675819731
